service,domains,email_subject_cues,cancel_url_hint,requires_login,flow,region,support_hint,notes,known_paths,last_verified
Netflix,['@netflix.com'],"['Your membership', 'Payment', 'Receipt']",https://www.netflix.com/YourAccount,True,Account → Membership & Billing → Cancel Membership,global,help.netflix.com,Two-step confirm; may show retention offers.,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
Hulu,['@hulu.com'],"['Your Hulu payment', 'Hulu receipt', 'Subscription update']",https://secure.hulu.com/account#cancel,True,Account → Cancel → Confirm,US,help.hulu.com,Fragment link often jumps to cancel section.,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
Disney+,"['@disneyplus.com', '@disneyplushelp.com']","['Your Disney+ subscription', 'Receipt', 'Payment processed']",https://www.disneyplus.com/account,True,Account → Subscription → Cancel,global,help.disneyplus.com,"If purchased via Apple/Google, route to store.","['/account', '/billing', '/subscription', '/manage', '/cancel']",
Max (HBO),"['@max.com', '@hbo.com']","['Max subscription', 'HBO Max receipt', 'Payment']",https://www.max.com/account,True,Account → Subscription → Manage → Cancel,US,help.max.com,Third-party billing (Apple/Prime) reroutes.,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
Amazon Prime,['@amazon.com'],"['Your Amazon Prime', 'Payment successful', 'Prime membership']",https://www.amazon.com/primecentral,True,Prime Central → Manage Membership → End membership,global,amazon.com/gp/help,Multiple confirm screens; shows savings counters.,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
YouTube Premium,"['@youtube.com', '@google.com']","['YouTube Premium', 'Membership receipt']",https://www.youtube.com/paid_memberships,True,Paid Memberships → Manage → Cancel,global,support.google.com/youtube,Family plan nuance.,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
Spotify Premium,['@spotify.com'],"['Spotify receipt', 'Your Premium plan']",https://www.spotify.com/account/subscription/,True,Account → Subscription → Cancel,global,support.spotify.com,"If billed by Apple, route to iOS subscriptions.","['/account', '/billing', '/subscription', '/manage', '/cancel']",
Apple TV+ / Apple Subscriptions,"['@apple.com', '@itunes.com', '@notifications.apple.com']","['Subscription', 'Receipt from Apple']",https://apps.apple.com/account/subscriptions,True,Opens Apple Subscriptions management,global,support.apple.com/billing,All Apple-billed subs cancel in Apple ID settings.,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
Paramount+,"['@paramountplus.com', '@cbsinteractive.com']","['Paramount+ receipt', 'Subscription update']",https://www.paramountplus.com/account/,True,Account → Subscription → Cancel,US,help.paramountplus.com,,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
Peacock,['@peacocktv.com'],"['Peacock receipt', 'Subscription']",https://www.peacocktv.com/account,True,Plans & Payment → Change or Cancel,US,help.peacocktv.com,,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
Sling TV,['@sling.com'],"['Sling receipt', 'Subscription']",https://www.sling.com/account,True,Account → Manage Subscription → Cancel,US,help.sling.com,,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
Fubo,['@fubo.tv'],"['Fubo TV', 'Receipt', 'Payment']",https://www.fubo.tv/account,True,Account → Subscription → Cancel,US,support.fubo.tv,,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
DAZN,['@dazn.com'],"['DAZN receipt', 'Payment']",https://www.dazn.com/account,True,Account → Subscription → Cancel,multi,support.dazn.com,,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
Crunchyroll,['@crunchyroll.com'],"['Membership', 'Receipt']",https://www.crunchyroll.com/account/membership,True,Membership → Cancel,global,help.crunchyroll.com,,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
Hulu (Disney Bundle),"['@hulu.com', '@disneyplus.com', '@espn.com']","['Disney Bundle', 'Bundle receipt']",https://www.disneyplus.com/account,True,Manage Bundle → Cancel,US,help.disneyplus.com,Bundle routing quirks.,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
Adobe Creative Cloud,['@adobe.com'],"['Your Adobe plan', 'Invoice']",https://account.adobe.com/plans,True,Plans → Manage plan → Cancel,global,helpx.adobe.com,Early termination fees possible.,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
Microsoft 365,"['@microsoft.com', '@office.com']","['Microsoft subscription', 'Your Office 365']",https://account.microsoft.com/services,True,Services & Subscriptions → Manage → Cancel,global,support.microsoft.com,,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
Google Workspace Individual,['@google.com'],"['Google Workspace', 'Subscription']",https://myaccount.google.com/subscriptions,True,Subscriptions → Manage → Cancel,global,support.google.com,,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
Dropbox,['@dropbox.com'],"['Dropbox receipt', 'Invoice']",https://www.dropbox.com/account/billing,True,Billing → Cancel plan,global,help.dropbox.com,,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
Evernote,['@evernote.com'],"['Evernote receipt', 'Plan']",https://www.evernote.com/Settings.action,True,Account → Billing → Cancel subscription,global,help.evernote.com,,"['/account', '/billing', '/subscription', '/manage', '/cancel']",
